pali,pos,meaning,root,construction,pattern,cl.
attha 1.1,masc,meaning; sense; significance,"√ar 1 a (move, attain)",√ar + tha,a masc,2
attha 2.1,masc,need (for); want (for),√atth 8 *aya (wish for),√atth + a,a masc,2
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),"√sī 1 a (lie, sleep)",anu + √sī > say + *a,a masc,2
anussarati 1.1,pr,remembers; recollects; bears in mind,√sar 1 a (remember),anu + sara + ti,ati pr,3
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,"√vaḍḍh 1 a (grow, increase)",abhi + vaḍḍha + ti,ati pr,3
ākāsa 2,masc,sky; air,"√kās 1 a (shine, be visible)",ā + √kās + a,a masc,2
ācariya 1,masc,teacher; religious leader,"√car 1 a (act, behave)",ā + √car + iya,a masc,2
ājānāti 1,pr,knows; understands,√ñā 5 nā (know),ā + jānā + ti,āti pr,3
ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service","√nand 1 a (delight, enjoy)",ā + √nand + a,a masc,2
āmantayati 1,pr,tells; informs; advises,"√mant 8 *aya (counsel, invite)",ā + mantaya + ti,ati pr,3
āsava 1.2,masc,discharge; suppuration; outflow; effluent; (comm) defilement,√su 1 a (flow),ā + √su > sav + *a,a masc,2
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1 a (live),ā + √vas > vās + *a,a masc,2
uddisati 1,pr,recites; chants,"√dis 1 a (point out, explain)",ud + disa + ti,ati pr,3
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,"√dis 1 a (point out, explain)",ud + √dis > des + *a,a masc,2
upajjhāya,masc,preceptor; teacher; mentor,"√i 1 a (study, recite)",upa + adhi > adhy > ajjh + √i > āy + *a,a masc,2
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),"√sam 3 ya (be calm, be tired)",upa + √sam + a,a masc,2
upāyāsa 1,masc,affliction; difficulty; trouble; despair,"√yas 3 ya (strive, struggle)",upa + ā + √yas > yās + *a,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās 1 a (sit),upa + √ās + aka,a masc,2
uposatha 1,masc,full moon or new moon observance day,√vas 1 a (live),"upa + √vas + a + tha
up<b>ava</b>sa > up<b>o</b>sa + tha",a masc,2
uppajjati 1,pr,appears; arises; occurs; takes place,"√pad 3 ya (go, step)",ud + pajja + ti,ati pr,3
