pali_1,pos,meaning_1,root,pattern,sbs_class
akata 2,pp,not made; not created,√kar,a pp,11
akammāsa,adj,unblemished; spotless; pure,,a adj,11
akālika 1,adj,immediate; (comm) giving immediate fruit,√kal 1,a adj,11
akālika 2,adj,timeless; not limited to a particular time,√kal 1,a adj,11
akāsi 2,aor,made,√kar,āsi aor,4
akiñcana,adj,with nothing; is nothing; having no; possession-less; epithet of an arahant,,a adj,11
akusala 4,adj,unhealthy; unwholesome; unskillful; unbeneficial; useless,,a adj,11
akovida,adj,unskilled (in); not expert (in); not proficient (in); not a master (of),√vid 2,a adj,11
akkosa,masc,verbal abuse; insult,√kus 1,a masc,2
akkhāta,pp,said; told; declared; announced,√khā,a pp,11
akkhātar,masc,speaker (of); who tells (about); who speaks (about); who expresses (about),√khā,ar masc,6
akhaṇḍa,adj,unbroken; unfragmented; whole,√khaṇḍ,a adj,11
agacchi,aor,went; travelled,√gam,i aor issaṃ,4
agāra 1,nt,dwelling; building; house; hut,,a nt,9
agāra 2,nt,household life; domestic living,,a nt,9
agilāna 1,adj,not sick; healthy,√gilā,a adj,11
aggi,masc,fire,√agg,i masc,4
aghato,ind,as trouble; as pain; as bad,,,11
aṅga 3,nt,factor; component; element; quality; aspect,√añj 1,a nt,9
acakkhuka,adj,sightless; visionless,√cakkh,a adj,11
acira,adj,(of time) not long; soon; recent,,a adj,11
accaya 3,masc,fault; offence; transgression,√i 1,a masc,2
accayena 2,ind,after the death (of); after the passing (of),√i 1,,13
accādhāya,ger,overlapping; placing one on top of another,√dhā,,8
acchariya 1,adj,wonderful; marvellous,,a adj,11
acchādeti 1.1,pr,dresses; clothes; give clothes (to),√chad,eti pr,3
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on,√chad,,8
acchidda 1,pp,unbroken; flawless; without cracks,√chid,a pp,11
acchejji,aor,completely cut out; utterly severed; totally destroyed,√chid,i aor,14
ajāta 1,pp,unborn; uncreated; unproduced,√jan,a pp,11
ajānanta,prp,not knowing; being ignorant (of),√ñā,anta prp,10
ajesi,aor,conquered; defeated,√ji 1,esi aor,4
ajja,ind,today; now,,,6
ajjhattaṃ,ind,internally; inwardly; personally,,,13
ajjhabhāsi,aor,addressed; spoke (to),√bhās 1,i aor,4
ajjhāvasatar,masc,who lives in a home; who is domestically settled,√vas 1,ar masc,6
ajjhositabba,ptp,should be fixated on; should be clung to; should be tied to,√sā,a ptp,14
añjali 1,masc,palms placed together (as a token of respect),√añj 3,i masc,4
añña 1.1,pron,another; other; different; someone else; not oneself,,a pron,10
aññatara 1,pron,a certain; a,,a pron,10
aññatara 2,pron,one (of); either one (of),,a pron,10
aññatra 2,ind,apart (from); aside (from); other (than); except (for); without,,,13
aññathā 1,ind,differently; otherwise,,,13
aññātuṃ,inf,to know; to understand,√ñā,,9
aṭṭha 1.1,card,eight (8),,a1 card,12
aṭṭhama 1,ordin,eighth (8th),,aī ordin,12
aṭṭhasata,card,one hundred and eight (108),,a2 card,12
aṭṭhārasa 1,card,eighteen (18),,a1 card,12
aṭṭhāsi 1,aor,stood; stayed; remained,√ṭhā,āsi aor,4
aṭṭhi 1.1,nt,bone,,i nt,9
aṇu 1,adj,small; tiny; minute; minuscule,,u adj,11
aṇu 2,adj,subtle; fine,,u adj,11
aṇḍa 1,nt,egg,,a nt,9
atikkāmeti 2,pr,exceeds; goes over; oversteps,√kam 1,eti pr,14
atippago,ind,too early (to),,,9
atīta 2,pp,past; gone past; bygone,√i 1,a pp,11
attani 2,masc,when self; when oneself,,a2 masc,10
attaniya,adj,one's own; belonging to oneself; fit to be a self,,a adj,11
attha 1.1,masc,meaning; sense; significance,√ar,a masc,2
attha 1.2,masc,benefit; profit; good; welfare; goal,√ar,a masc,2
attha 2.1,masc,need (for); want (for),√atth,a masc,2
attha 4.2,imp,you (all) must be; may you (all) be,√as 1,atthi pr,4
atthaṅgate sūriye,idiom,after sunset,,,10
atthaṃ,ind,for the sake (of); for the purpose (of); for the benefit (of),√ar,,13
atthāya 2,masc,fortunate (for); beneficial (for); useful (for),√ar,a masc,9
atthi 1.1,pr,there is; there exists,√as 1,atthi pr,4
atthi 1.2,pr,there are; they are,√as 1,atthi pr,4
atthitā,fem,existence; idea of existence; fact of being present,√as 1,ā fem,7
atha 1,ind,then; also; and so; after that,,,13
atha 2,ind,but; rather; even,,,13
adassāvī,adj,who has no regard (for),√dis 1,ī adj,5
adiṭṭha 1.1,pp,not seen; unseen,√dis 1,a pp,11
