pali_1,pos,meaning_1,root,pattern,sbs_class
akkosa,masc,verbal abuse; insult,√kus 1,a masc,2
akkhātar,masc,speaker (of); who tells (about); who speaks (about); who expresses (about),√khā,ar masc,6
agacchi,aor,went; travelled,√gam,i aor issaṃ,4
agāra 1,nt,dwelling; building; house; hut,,a nt,9
agāra 2,nt,household life; domestic living,,a nt,9
aggi,masc,fire,√agg,i masc,4
accādhāya,ger,overlapping; placing one on top of another,√dhā,,8
acchādeti 1.1,pr,dresses; clothes; give clothes (to),√chad,eti pr,3
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on,√chad,,8
ajānanta,prp,not knowing; being ignorant (of),√ñā,anta prp,10
ajesi,aor,conquered; defeated,√ji 1,esi aor,4
ajja,ind,today; now,,,6
ajjhabhāsi,aor,addressed; spoke (to),√bhās 1,i aor,4
ajjhāvasatar,masc,who lives in a home; who is domestically settled,√vas 1,ar masc,6
añjali 1,masc,palms placed together (as a token of respect),√añj 3,i masc,4
añña 1.1,pron,another; other; different; someone else; not oneself,,a pron,10
aññatara 1,pron,a certain; a,,a pron,10
aññatara 2,pron,one (of); either one (of),,a pron,10
aññātuṃ,inf,to know; to understand,√ñā,,9
aṭṭhāsi 1,aor,stood; stayed; remained,√ṭhā,āsi aor,4
aṭṭhi 1.1,nt,bone,,i nt,9
atippago,ind,too early (to),,,9
attha 1.1,masc,meaning; sense; significance,√ar,a masc,2
attha 1.2,masc,benefit; profit; good; welfare; goal,√ar,a masc,2
attha 2.1,masc,need (for); want (for),√atth,a masc,2
attha 4.2,imp,you (all) must be; may you (all) be,√as 1,atthi pr,4
atthaṅgate sūriye,idiom,after sunset,,,10
atthāya 2,masc,fortunate (for); beneficial (for); useful (for),√ar,a masc,9
atthi 1.1,pr,there is; there exists,√as 1,atthi pr,4
atthi 1.2,pr,there are; they are,√as 1,atthi pr,4
adhamma 2,masc,false teaching; something opposed to the teaching,√dhar 1,a masc,5
adhigacchati,pr,gets to; attains; finds; acquires; obtains,√gam,ati pr,3
adhicitta,nt,meditation; mental development; higher consciousness,√cit 1,a nt,9
anagāriya,nt,homelessness; homeless state,,a nt,9
anañña,pron,not another; no other,,a pron,10
anabhineti,pr,does not invite; does not conduct towards,√nī,eti pr,5
anāgāmī,adj,who does not return; non-returning,√gam,ī adj,5
anāpucchanta,prp,not asking permission; not informing,√pucch,anta prp,10
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,√lī 1,a masc,5
aniccānupassī,adj,observing impermanence (of); watching instability (of),,ī adj,5
anibbisanta,prp,not understanding; not penetrating; not finding; not getting hold (of),√vis 1,anta prp,10
anudhāvati 1,pr,runs along; sprints along,√dhāv 1,ati pr,3
anupassī 1,adj,looking (at); observing; following; noticing; witnessing; watching,√dis 1,ī adj,5
anupādiyanta,prp,not attaching (to); not taking as mine; not grasping (onto); not clinging (to); not taking possession (of),√ādā,anta prp,10
anuyuñjati 2,pr,indulges (in); is addicted (to),√yuj,ati pr,3
anulometi 2,pr,regulates; settles; balances,,eti pr,3
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),√sī,a masc,2
anusāsanī,fem,advice; instruction; teaching,√sās,ī fem,8
anussarati 1.1,pr,remembers; recollects; bears in mind,√sar 2,ati pr,3
anussaranta,prp,remembering; recollecting; keeping in mind,√sar 2,anta prp,10
anuviloketi,pr,looks around; surveys,√lok,eti pr,3
antarāya,masc,obstacle (for); danger (for),,a masc,2
aparihāna,nt,not deteriorating; not decreasing; non-declining; non-regressing,√hā 2,a nt,9
apassanta,prp,not seeing; not noticing; not aware,√dis 1,anta prp,10
api 1.2,ind,even; even then,,,9
api 1.7,ind,too; also; as well,,,9
apucchi,aor,asked; enquired,√pucch,i aor isuṃ,4
appaka 2,nt,few things; few people; small amount,,a nt,9
appaccakkhāya,ger,not giving up; not disavowing; not renouncing; not rejecting,√khā,,8
appamāda,masc,alertness; care; carefulness; caution; vigilance; diligence; conscientiousness; heedfulness,√mad,a masc,5
abyāpāda,masc,goodwill; kindness; friendliness; benevolence,√pad,a masc,5
abyositatta,nt,fact of not being perfected; fact of not being accomplished,√sā,a nt,9
abhāsi 1,aor,spoke; said,√bhā,i aor isuṃ,4
abhikkantāya rattiyā,idiom,as the evening passed; as the night progressed,,,10
abhijjhā,fem,wishing; wanting; covetousness; greed,√jhā,ā fem,7
abhitthavati,pr,,√thu 2,ati pr,3
abhinandi 1,aor,delighted (in); was pleased (with); approved (of); was happy (with); relished,√nand,i aor,4
abhinipajjituṃ,inf,to lie down (on); to lie (in),√pad,,9
abhinisīdituṃ,inf,to sit down (in); to sit (on),√sad,,9
abhibhū 1,masc,conqueror; victor; vanquisher; master (of),√bhū,ū masc,6
abhiramati,pr,enjoys; delights (in); takes pleasure (in),√ram 1,ati pr,3
abhisaṅkharoti 2,pr,does; performs,√kar,oti pr,3
abhisamaya,masc,complete comprehension (of); total understanding (of); completely getting (of); breakthrough (to),√i 1,a masc,2
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,√vaḍḍh,ati pr,3
amanasikāra 1,masc,non-attention; ignoring,,a masc,2
amaritukāma,adj,not wishing to die,,a adj,9
amu,pron,(of person or place or thing) that; such; so and so,,amu pron,10
amha 1.1,pr,we are,√as 1,atthi pr,4
amhākaṃ 3,pron,our; of us,,ahaṃ pron,5
amhi,pr,I am,√as 1,atthi pr,4
arañña,nt,forest; wood; wild; wilderness,√ar,a nt,9
arahati 3,pr,should; ought (to); is suitable (for); it is befitting (for),√arah,ati pr,3
alaṃ 1,ind,(it is) suitable (to); proper (to); appropriate (to); worthy (for),,,9
alaṃ 2,ind,is able (to); is possible (to); is capable (of),,,9
alaṃ 3,ind,enough; it is enough (for),,,9
alaṃ 5,ind,that’s enough (of)!; stop (with)!,,,9
alika 1,nt,lie; falsehood; untruth,,a nt,9
asati 1.1,prp,when isn’t; when not existing,√as 1,anta prp,10
asante,prp,when there isn’t; when not existing; when does not exist,√as 1,santa prp,10
asamanupassanta,prp,not seeing; not perceiving,√dis 1,anta prp,10
asammosa,masc,not forgetting; non-confusion,√mus 1,a masc,5
asi 2.1,pr,you are,√as 1,atthi pr,4
asura,masc,titan; anti-god; enemy of the devas,√sur,a masc,5
assa 3.1,opt,may be; could be; should be; would be,√as 1,ssa opt,7
assatha,opt,you all could be; you might be,√as 1,ssa opt,7
assasati,pr,inhales; breathes in,√sas 1,ati pr,3
assasanta,prp,inhaling; breathing in,√sas 1,anta prp,10
assasissati,fut,will breathe in; will inhale,√sas 1,ati pr,5
assavanatā,fem,fact of not hearing (of),√su 1,ā fem,7
assaṃ,opt,I could be; I might be; may I be; I could become,√as 1,ssa opt,7
assāma,opt,we could be; we may be; we might be; we should be,√as 1,ssa opt,7
assu 3.1,opt,they should be; they may be; they would be; may they be,√as 1,ssa opt,7
assutavant,adj,unlearned; untaught; uninitiated; untrained,√su 1,ant adj,6
avijjā,fem,ignorance; illusion; not knowing; not understanding,√vid 5,ā fem,7
avivadamāna,prp,not disputing; not quarrelling,√vad 1,māna prp,10
ahaṃ,pron,I,,ahaṃ pron,5
ahosi,aor,was; existed; became,√hū,hosi aor,4
ākaṅkhati,pr,wishes (for); wants; desires; aspires (for),√kaṅkh 1,ati pr,3
ākaṅkhamāna,prp,wishing (for); desiring (for); seeking (for),√kaṅkh 1,māna prp,10
ākāsa 2,masc,sky; air,√kās 1,a masc,2
