pali_1,pos,meaning_1,pattern,sbs_class
sabba 1,pron,all; every,a-pron,10
añña 1,pron,another; other; different; someone else; not oneself,a-pron,10
para 1,pron,other; another (person),a-pron,10
aññatara 1,pron,a certain; a,a-pron,10
sabba 2,pron,everything; everyone; all,a-pron,10
amu,pron,(of person or place or thing) that; such; so and so,amu-pron,10
jānanta,prp,knowing; being aware (of),anta-prp,10
samanupassanta,prp,seeing; perceiving,anta-prp,10
passanta 1,prp,seeing,anta-prp,10
tiṭṭhanta 1,prp,standing; standing still,anta-prp,10
gacchanta,prp,going; walking; travelling,anta-prp,10
viharanta,prp,living (in); staying (at); remaining (in); continuing (in),anta-prp,10
anussaranta,prp,remembering; recollecting; keeping in mind,anta-prp,10
tiṭṭhanta 2,prp,lasting; remaining; persisting; lit. standing,anta-prp,10
apassanta,prp,not seeing; not noticing; not aware,anta-prp,10
ajānanta,prp,not knowing; being ignorant (of),anta-prp,10
anāpucchanta,prp,not asking permission; not informing,anta-prp,10
ekacca 1,pron,certain; one of,ekacca-pron,10
desenta 1,prp,preaching (to); teaching (to); explaining (to); pointing out (to),enta-prp,10
ima 1.1,pron,this,ima-pron,10
ākaṅkhamāna,prp,wishing (for); desiring (for); seeking (for),māna-prp,10
caramāna,prp,walking; walking about; wandering around (in); going around,māna-prp,10
sampassamāna,prp,seeing; observing; considering,māna-prp,10
bhāsamāna,prp,speaking (about); talking (about); saying,māna-prp,10
upapajjamāna,prp,being reborn; re-arising; lit. going towards,māna-prp,10
uppajjamāna,prp,arising; appearing; coming into being,māna-prp,10
cavamāna,prp,falling away; dying,māna-prp,10
daḷha 1,adj,strong; firm; steady,a-adj,11
majjhima 1,adj,middle; middling; medium; medium-sized; moderate,a-adj,11
gambhīra 3,adj,profound; abstruse; hard to fathom; lit. deep,a-adj,11
pāṭikaṅkha,adj,to be expected (for); certain (for); can be anticipated; lit. to be wished,a-adj,11
ariya 1,adj,noble; distinguished; of the Buddha,a-adj,11
seṭṭha 1,adj,foremost; best (of); primary; most important; supreme,a-adj,11
apara 1,adj,another; after; further; next,a-adj,11
anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to); lit. nothing higher,a-adj,11
parama 1,adj,highest; most extreme; very best; ultimate; superior; sublime; lit. furthest,a-adj,11
pamatta 1,adj,careless; heedless; negligent; inattentive,a-adj,11
kusala 1,adj,healthy; beneficial; useful; good; wholesome,a-adj,11
aroga,adj,healthy; free from disease,a-adj,11
purima 1,adj,earlier; past; former; previous,a-adj,11
aḍḍha 1.1,adj,half,a-adj,11
pacchima 1,adj,last; final,a-adj,11
paṇīta 2,adj,fine; refined; excellent; superior; sublime; lit. brought forward,a-adj,11
paccuppanna 1,adj,present; presently arisen; existing; current,a-adj,11
vūpakaṭṭha,adj,secluded (from); isolated (from); withdrawn (from),a-adj,11
anicca 1,adj,impermanent; inconstant; not lasting; discontinuous; disordered; unstable; unreliable; irregular,a-adj,11
nicca,adj,permanent; lasting; continuous; ordered; stable; reliable; regular; immutable,a-adj,11
pisuṇa,adj,(of speech) divisive; defamatory; slanderous; malicious,a-adj,11
dibba,adj,divine; heavenly; celestial,a-adj,11
suñña 2,adj,empty; uninhabited,a-adj,11
uḷāra 1,adj,excellent; lofty; high; noble,a-adj,11
ṭhita 2,adj,stationary; stable; stabilised; motionless; immovable,a-adj,11
kammaniya,adj,ready; workable; suitable for use; functional,a-adj,11
anaṅgaṇa,adj,spotless; blemish free,a-adj,11
pariyodāta,adj,pure; clean; shiny; bright; lit. become pure,a-adj,11
oḷārika 1,adj,coarse; gross; substantial; physical; material,a-adj,11
kevala 1,adj,all; whole lot; altogether; total; entire; complete,a-adj,11
sata 1.1,adj,mindful; present; attentive,a-adj,11
sukhuma 1,adj,fine; subtle; refined,a-adj,11
byatta,adj,experienced; learned; competent; trained; lit. distinguished,a-adj,11
dakkha,adj,expert; skilled; able; adroit,a-adj,11
bhūta 2,adj,true; correct; genuine; accurate; lit. become,a-adj,11
anāsava 1,adj,free from the effluents; taint-less; undefiled,a-adj,11
manāpa 1,adj,pleasant; likeable; attractive; agreeable; lit. obtained by mind,a-adj,11
kanta 1.1,adj,charming (to); pleasant (to); desirable; agreeable (to); lit. desired,a-adj,11
piya 1,adj,dear (to); beloved (by); loved (by),a-adj,11
odāta 1,adj,white,a-adj,11
sāra 1,adj,essential; substantial; valuable; sound,a-adj,11
hīna 1,adj,low; inferior; deficient,a-adj,11
sukara,adj,easily done; easy to do; easy to make,a-adj,11
agilāna 1,adj,not sick; healthy,a-adj,11
pharusa 1,adj,(of speech) harsh; rough; rude; unkind,a-adj,11
avera 1,adj,kind; friendly; peaceful; free of ill-will; without animosity,a-adj,11
mogha,adj,useless; stupid; in vain; waste; wrong; foolish; lit. empty,a-adj,11
dūra 1,adj,far away (from); distant (from),a-adj,11
sacca 1,adj,true; correct; accurate; honest; reliable,a-adj,11
appamāṇa,adj,immeasurable; unlimited; limitless; boundless,a-adj,11
sukka 1,adj,pure; bright,a-adj,11
sāraṇīya 1.1,adj,polite; pleasant; charming; (comm) fit to be remembered; lit. to be desired,a-adj,11
pubba 1.1,adj,before; previous; earlier; former,a-adj,11
sampajāna 1,adj,clearly aware; fully knowing; completely comprehending,a-adj,11
appiya 1,adj,not dear (to); unloved (by); disliked (by),a-adj,11
piya 2,adj,liked; pleasant; agreeable,a-adj,11
svākkhāta,adj,well taught; well preached; well explained,a-adj,11
sukha 1,adj,easy (on); comfortable (for); pleasant (for); good (for); contented,a-adj,11
samannāgata,adj,possessing; endowed (with); having; lit. going together,a-adj,11
akusala 1,adj,unskilful; incompetent; inexperienced,a-adj,11
anavajja 1,adj,irreproachable; faultless; blameless; innocent; lit. not to be dispraised,a-adj,11
iṭṭha 1,adj,pleasing; likeable; cherished; wished for; lit. wished,a-adj,11
matta 2,adj,mere; simple; the fact of; by virtue of,a-adj,11
dhammika 2,adj,righteous; just; lit. according to the Dhamma,a-adj,11
subhāsita 1,adj,well spoken; articulate; eloquent,a-adj,11
abbhuta 1,adj,marvellous; extraordinary; unbelievable; astonishing,a-adj,11
acchariya 1,adj,wonderful; marvellous,a-adj,11
methuna 1,adj,sexual,a-adj,11
paripūra 1,adj,full; filled up; complete,a-adj,11
sassata,adj,eternal; everlasting; endless; perpetual; (comm) existing forever,a-adj,11
dhuva 1,adj,stable; enduring; eternal; everlasting,a-adj,11
iccha,adj,wishing for; desiring; wanting,a-adj,11
uttama 1,adj,best; highest; ultimate; supreme; top,a-adj,11
yāvataka,adj,as much as; as long as; as big as; as far as,a-adj,11
nava 1,adj,new; fresh,a-adj,11
appa 1,adj,few; not many; not much,a-adj,11
sandiṭṭhika,adj,directly visible; evident; real; perceivable; (comm) able to be seen by oneself,a-adj,11
dussīla 1,adj,unprincipled; immoral; of bad behaviour,a-adj,11
dukkha 2,adj,painful,a-adj,11
akhaṇḍa,adj,unbroken; unfragmented; whole,a-adj,11
anatta 1,adj,impersonal; not oneself; non-subjective; not suitable to identify with; coreless; essenceless,a-adj,11
aparikkamana,adj,not accessible; not approachable; lit. with no space around,a-adj,11
abhikkanta 3,adj,progressing; moving on; (comm) ending; depletion,a-adj,11
avicāra,adj,free from discursive thought,a-adj,11
avitakka,adj,free from thinking; free from reflection,a-adj,11
uttara 2.1,adj,higher (than); superior (to),a-adj,11
oḷārika 2,adj,(of food) solid; heavy; substantial,a-adj,11
kaṇha 1,adj,dark; black,a-adj,11
kāsāya 1,adj,brownish; colour of Buddhist monks' robes,a-adj,11
khama 2,adj,fit (for); capable (of); suitable (for),a-adj,11
dakkhiṇa 1,adj,right (hand side),a-adj,11
dukkha 1,adj,uncomfortable; unpleasant,a-adj,11
dullabha 1,adj,difficult to find (for); hard to obtain (for); rare (for),a-adj,11
panta 2,adj,secluded; isolated; solitary,a-adj,11
bhūta 1,adj,existing; born; living; lit. become,a-adj,11
sagga 1.1,adj,heavenly,a-adj,11
sabyañjana,adj,in letter,a-adj,11
savicāra,adj,with investigation; with consideration,a-adj,11
savitakka,adj,with thinking; accompanied with reflection,a-adj,11
sāttha,adj,in meaning; in spirit,a-adj,11
sārambha 2.1,adj,harmful; hurtful; injurious (to living creatures),a-adj,11
sugata 3,adj,standard; commonly accepted; lit. well-gone,a-adj,11
vipula 1,adj,vast; extensive; expansive; massive,a-adj,11
sugata 2,masc,Fortunate One; epithet of the Buddha; lit. well gone,a-masc,11
akkhāta,pp,said; told; declared; announced,a-pp,11
animitta 1,pp,signless; featureless; free of mental images; lit. no sign,a-pp,11
āgata 3,pp,come (from); arrived (from); returned (from),a-pp,11
nisinna 1,pp,seated,a-pp,11
kupita,pp,indignant; angry; annoyed; outraged; offended,a-pp,11
appamatta 1.1,pp,diligent (in); vigilant (about); careful (about); attentive (to); lit. not intoxicated,a-pp,11
patta 3.1,pp,reached; attained; gained; accomplished; found,a-pp,11
samāhita 1,pp,composed; centred; settled; collected; concentrated,a-pp,11
pabbajita 2,pp,ordained (from); renounced (from); lit. exiled,a-pp,11
laddha 1,pp,obtained; gained; won; received,a-pp,11
adhigata 1,pp,got; acquired; attained; achieved; lit. arrived at,a-pp,11
paricita,pp,practised; rehearsed; consolidated; familiarized; lit. piled up; accumulated,a-pp,11
santuṭṭha 1,pp,satisfied; pleased; content; happy with,a-pp,11
kata 1,pp,done; did; completed,a-pp,11
vimutta,pp,freed (from); liberated (from); emancipated (from),a-pp,11
visuddha 1,pp,cleansed; purified; refined,a-pp,11
cuta 1.1,pp,passed away; died,a-pp,11
vutta 2.1,pp,said; told; spoken; mentioned,a-pp,11
gata 2,pp,become (a certain way); being in (some state); gone into (a state),a-pp,11
dukkhita 1,pp,afflicted; miserable; suffering,a-pp,11
vippamutta,pp,freed (from); released (from); saved (from),a-pp,11
anuppanna,pp,unborn; unarisen; not existing; nonexistent,a-pp,11
desita 1,pp,preached (by); taught (by); explained (by); instructed (by),a-pp,11
upaṭṭhita 1,pp,present; in attendance; available; lit. stood near,a-pp,11
pahīna,pp,abandoned; dispelled; eliminated; removed; given up,a-pp,11
puṭṭha 1.1,pp,asked; questioned,a-pp,11
dinna 1,pp,given (to); offered (to),a-pp,11
uppanna 1,pp,arisen; appeared; come into being,a-pp,11
phuṭṭha 1,pp,touched (by); contacted (by); experienced,a-pp,11
khīṇa 1,pp,consumed; spent; finished; exhausted; slowly destroyed,a-pp,11
diṭṭha 1.1,pp,seen; found; visible,a-pp,11
āraddha 1.1,pp,aroused; applied; undertaken,a-pp,11
akata 1,pp,not done; not performed; not acted,a-pp,11
akata 2,pp,not made; not created,a-pp,11
abhūta 1,pp,not become; not happened,a-pp,11
samiñjita 2,pp,bent back; folded back; flexed back,a-pp,11
vusita 1,pp,fulfilled; completed; finished; lit. lived,a-pp,11
upekkhaka,adj,mental poised; mentally balanced; equanimous; non-reactive; looking on; disregarding; lit. onlooker,aka-adj,11
pāpaka 1.1,adj,bad; wicked; evil; wrong; worthless; harmful,aka-adj,11
mahanta 1,adj,big; great; large; grand; vast; extensive,anta-adj,11
kalyāṇa 1,adj,good; favourable; propitious; beneficial; lovely,aī-adj,11
aneka,adj,many; various; countless; lit. not one,eka-adj,11
aniccato,ind,as impermanent; as unstable; as transient; as unreliable,ind,11
attato,ind,as oneself; as self,ind,11
