pali_1,pos,meaning_1,root,pattern,sbs_class
akata 1,pp,not done; not performed; not acted,√kar,a pp,11
akata 2,pp,not made; not created,√kar,a pp,11
akusala 1,adj,unskilful; incompetent; inexperienced,,a adj,11
akkhāta,pp,said; told; declared; announced,√khā,a pp,11
akkhātar,masc,speaker (of); who tells (about); who speaks (about); who expresses (about),√khā,ar masc,6
akhaṇḍa,adj,unbroken; unfragmented; whole,√khaṇḍ,a adj,11
agāra 1,nt,dwelling; building; house; hut,,a nt,9
agāra 2,nt,household life; domestic living,,a nt,9
agilāna 1,adj,not sick; healthy,√gilā,a adj,11
aggi,masc,fire,√agg,i masc,4
aṅga 1,nt,part of the body; limb,√añj 1,a nt,9
aṅga 3,nt,factor; component; element; quality; aspect,√añj 1,a nt,9
accaya 3,masc,fault; offence; transgression,√i 1,a masc,2
accayena 2,ind,after the death (of); after the passing (of),√i 1,,13
acchariya 1,adj,wonderful; marvellous,,a adj,11
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on,√chad,,8
ajānanta,prp,not knowing; being ignorant (of),√ñā,anta prp,10
ajja,ind,today; now,,,6
ajjhattaṃ,ind,internally; inwardly; personally,,,13
ajjhabhāsi,aor,addressed; spoke (to),√bhās 1,i aor,4
añjali 1,masc,palms placed together (as a token of respect),√añj 3,i masc,4
añña 1.1,pron,another; other; different; someone else; not oneself,,a pron,10
aññatara 1,pron,a certain; a,,a pron,10
aññatra 2,ind,apart (from); aside (from); other (than); except (for); without,,,13
aññathā 1,ind,differently; otherwise,,,13
aṭṭha 1.1,card,eight (8),,a1 card,12
aṭṭhama 1,ordin,eighth (8th),,aī ordin,12
aṭṭhāsi 1,aor,stood; stayed; remained,√ṭhā,āsi aor,4
aṭṭhi 1.1,nt,bone,,i nt,9
aḍḍha 1.1,adj,half,,a adj,11
atikkāmeti 2,pr,exceeds; goes over; oversteps,√kam 1,eti pr,14
attato,ind,as oneself; as self,,,11
attha 1.1,masc,meaning; sense; significance,√ar,a masc,2
attha 1.2,masc,benefit; profit; good; welfare; goal,√ar,a masc,2
attha 1.3,masc,purpose; use; function,√ar,a masc,2
attha 2.1,masc,need (for); want (for),√atth,a masc,2
attha 4.2,imp,you (all) must be; may you (all) be,√as 1,atthi pr,4
